,Mkt-RF,SMB,HML,RF
19740327,-1.35,0.43,0.59,0.026
19740328,-1.85,0.28,0.44,0.026
19740329,-0.81,0.25,0.6,0.026
19740401,-0.79,0.32,0.36,0.036
19740402,0,-0.07,0.05,0.036
19740403,0.81,-0.56,-0.25,0.036
19740404,-0.08,-0.03,0.07,0.036
19740405,-1.4,0.57,0.34,0.036
19740408,-1.04,-0.09,0.28,0.036
19740409,0.49,-0.39,-0.09,0.036
19740410,-0.21,0.01,0.34,0.036
19740411,-0.27,0.12,0.33,0.036
19740415,-0.17,-0.03,0.25,0.036
19740416,1.56,-0.57,-0.33,0.036
19740417,0.67,-0.17,-0.13,0.036
19740418,0.35,-0.14,-0.05,0.036
19740419,-1.05,0.42,0.09,0.036
19740422,-0.41,-0.05,0.12,0.036
19740423,-1.83,0.13,-0.09,0.036
19740424,-1.73,0.12,0.25,0.036
19740425,-0.97,-0.31,0.04,0.036
19740426,0.57,-0.14,-0.17,0.036
19740429,-0.08,0.19,-0.22,0.036
19740430,0.26,-0.07,-0.29,0.036
19740501,1.95,-0.87,-0.57,0.034
19740502,-0.1,0.21,-0.01,0.034
19740503,-0.84,0.18,0.38,0.034
19740506,-0.16,-0.23,-0.14,0.034
19740507,0.18,-0.34,-0.11,0.034
19740508,0.01,-0.1,-0.34,0.034
19740509,1.07,-0.75,-0.24,0.034
19740510,-1.63,0.61,0.33,0.034
19740513,-0.96,-0.17,0.13,0.034
19740514,-0.03,-0.1,-0.21,0.034
19740515,-0.23,-0.09,-0.15,0.034
19740516,-0.66,0.38,-0.02,0.034
19740517,-1.79,0.17,0.34,0.034
19740520,-0.48,-0.19,-0.24,0.034
19740521,-0.03,-0.54,-0.75,0.034
19740522,-1,-0.11,-0.2,0.034
19740523,0.01,-0.78,-0.37,0.034
19740524,1.52,-0.39,-0.33,0.034
19740528,-0.24,0.01,0.23,0.034
19740529,-1.62,0.51,-0.06,0.034
19740530,0.54,-0.72,0.19,0.034
19740531,-0.14,0.12,0.05,0.034
19740603,1.86,-0.8,-0.08,0.03
19740604,1.22,0.03,0.01,0.03
19740605,0.27,0.19,0.18,0.03
19740606,1.7,-0.6,-0.71,0.03
19740607,0.66,0.38,0.13,0.03
19740610,0.55,-0.11,-0.36,0.03
19740611,-0.85,0.44,-0.05,0.03
19740612,-0.38,-0.07,-0.29,0.03
19740613,0.21,0.13,-0.35,0.03
19740614,-1.03,0.34,0.28,0.03
19740617,-1.36,0.41,0.34,0.03
